CLIENT COORDINATES AND CENTROID NUMBER
x, y, centroid_no
77.206, 207.399, 5
82.504, 203.528, 5
87.24, 208.165, 5
80.312, 193.038, 5
92.758, 211.349, 5
94.093, 203.107, 5
60.27, 2.239, 1
81.096, 125.659, 1
79.614, 81.378, 1
80.289, 98.826, 1
89.061, 187.129, 5
91.291, 90.714, 1
156.951, 123.372, 1
163.416, 120.259, 1
169.581, 130.915, 1
141.483, 116.836, 1
140.703, 134.633, 1
149.961, 105.931, 1
136.735, 114.267, 1
141.048, 105.307, 1
169.374, 145.044, 5
186.109, 213.188, 5
182.516, 197.364, 5
173.253, 202.539, 5
179.71, 196.601, 5
179.325, 183.039, 5
183.882, 180.129, 5
176.378, 180.437, 5
166.553, 184.269, 5
160.121, 202.425, 5
119.156, 52.65, 1
118.357, 69.374, 1
137.272, 39.224, 1
187.725, 156.24, 5
188.355, 165.315, 5
178.229, 161.872, 5
166.883, 157.904, 5
116.118, 71.376, 1
156.287, 151.692, 5
84.513, 8.18, 1
77.557, 4.135, 1
92.942, 0.0, 1
73.865, 3.958, 1
98.118, 14.335, 1
100.262, 26.908, 1
92.867, 77.267, 1
134.643, 202.166, 5
128.736, 196.223, 5
130.889, 212.815, 5
134.145, 215.491, 5
147.196, 211.496, 5
141.329, 216.199, 5
148.232, 191.966, 5
132.281, 180.23, 5
114.483, 193.278, 5
146.419, 181.934, 5
104.163, 141.264, 1
103.126, 168.055, 5
185.184, 84.777, 1
179.955, 99.165, 1
192.187, 67.516, 1
172.693, 69.209, 1
164.571, 81.647, 1
192.627, 108.784, 2
124.897, 110.167, 1
126.383, 102.382, 1
131.195, 115.119, 1
121.778, 120.432, 1
126.171, 96.432, 1
106.54, 113.393, 1
137.012, 95.595, 1
103.062, 121.03, 1
138.67, 89.985, 1
102.532, 216.067, 5
111.508, 212.629, 5
152.305, 22.975, 1
152.39, 27.373, 1
135.855, 18.34, 1
145.969, 74.546, 1
147.28, 59.006, 1
156.807, 62.972, 1
153.167, 91.239, 1
142.763, 145.726, 1
138.237, 162.619, 5
127.799, 162.345, 5
90.099, 42.151, 1
115.256, 179.533, 5
168.822, 48.891, 1
186.295, 231.05, 5
166.81, 221.693, 5
200.482, 231.927, 5
130.806, 221.249, 5
114.653, 222.802, 5
136.164, 233.668, 5
117.544, 232.177, 5
226.22, 229.147, 0
218.627, 241.452, 0
243.957, 232.375, 0
240.894, 245.705, 0
238.377, 251.642, 0
196.239, 250.098, 5
185.561, 250.718, 5
213.111, 251.118, 0
193.211, 268.542, 0
177.118, 253.514, 5
200.484, 318.812, 0
196.161, 331.201, 3
219.445, 319.189, 0
222.131, 305.847, 0
205.614, 293.099, 0
219.323, 333.981, 0
224.515, 324.824, 0
253.475, 421.252, 3
245.051, 249.381, 0
252.019, 248.391, 0
253.98, 256.821, 0
255.645, 251.346, 0
246.58, 265.624, 0
238.618, 267.463, 0
257.256, 254.044, 0
254.351, 262.53, 0
257.527, 256.578, 0
233.889, 270.039, 0
261.73, 252.514, 0
261.327, 256.505, 0
261.533, 247.01, 0
260.873, 264.547, 0
263.49, 243.404, 0
262.325, 240.276, 0
256.157, 232.468, 0
265.275, 253.57, 0
265.345, 245.819, 0
273.36, 342.655, 0
279.251, 319.571, 0
166.665, 251.765, 5
157.652, 250.766, 5
160.668, 241.809, 5
156.321, 261.346, 5
233.211, 331.917, 0
230.502, 322.468, 0
231.011, 344.991, 3
240.937, 314.877, 0
254.974, 322.657, 0
231.259, 353.206, 3
266.667, 253.298, 0
267.032, 254.265, 0
267.783, 261.475, 0
272.114, 254.59, 0
264.719, 266.105, 0
265.458, 267.252, 0
